Country,Year,Air transport CO2 emissions
United States,2020,102693609.8
United States,2021,137988013.7
Australia,2020,5906316.858
Austria,2020,1441415.778
Belgium,2020,838121.1196
Canada,2020,8895400.605
Chile,2020,1611509.764
Colombia,2020,1721213.792
Costa Rica,2020,74140.91441
Czechia,2020,295871.0596
Denmark,2020,772827.0341
Estonia,2020,134992.9913
Finland,2020,1067307.486
France,2020,9700459.953
Germany,2020,8765494.338
Greece,2020,624597.4004
Hungary,2020,1938073.213
Iceland,2020,667956.1941
Ireland,2020,5776812.283
Israel,2020,616895.4416
Italy,2020,1902196.735
Japan,2020,13419358.04
Korea,2020,9280177.313
Latvia,2020,84219.82778
Lithuania,2020,71137.78092
Luxembourg,2020,179313.6828
Mexico,2020,5753344.646
Netherlands,2020,6333065.613
New Zealand,2020,1930131.255
Norway,2020,1267666.327
Poland,2020,1186276.702
Portugal,2020,1881560.634
Slovak Republic,2020,16599.8271
Slovenia,2020,15479.01892
Spain,2020,4813030.59
Sweden,2020,767675.4532
Switzerland,2020,2344514.218
Türkiye,2020,8955713.803
United Kingdom,2020,13556954.01
Australia,2019,16446549.75
Austria,2019,4934362.399
Belgium,2019,2817819.588
Canada,2019,22255121.5
Chile,2019,2997303.926
Colombia,2019,3977959.761
Costa Rica,2019,330299.3954
Czechia,2019,992936.074
Denmark,2019,2091724.237
Estonia,2019,318715.8096
Finland,2019,3239856.069
France,2019,19936434.67
Germany,2019,25903800.55
Greece,2019,1432613.2
Hungary,2019,3213082.432
Iceland,2019,1979278.671
Ireland,2019,17496093.52
Israel,2019,2334764.249
Italy,2019,6054944.595
Japan,2019,23710216.51
Korea,2019,21545272.69
Latvia,2019,685372.0411
Lithuania,2019,166149.0414
Luxembourg,2019,283968.5827
Mexico,2019,10144715.99
Netherlands,2019,11688576.07
New Zealand,2019,3750995.124
Norway,2019,4502752.429
Poland,2019,2640567.773
Portugal,2019,4704247.667
Slovak Republic,2019,53571.74282
Slovenia,2019,143752.1696
Spain,2019,13304341.5
Sweden,2019,2174716.559
Switzerland,2019,6334967.365
Türkiye,2019,21026573.06
United Kingdom,2019,37229954.88
Australia,2021,5262025.906
Austria,2021,2376414.354
Belgium,2021,1414250.519
Canada,2021,8346322.304
Chile,2021,1725798.149
Colombia,2021,2680295.614
Costa Rica,2021,113642.544
Czechia,2021,453846.4846
Denmark,2021,817344.1435
Estonia,2021,195361.9002
Finland,2021,1030558.641
France,2021,10730820.97
Germany,2021,10107829.41
Greece,2021,974313.9611
Hungary,2021,2271863.193
Iceland,2021,921595.9775
Ireland,2021,6001911.937
Israel,2021,882543.7207
Italy,2021,1614497.369
Japan,2021,14565666.08
Korea,2021,8151364.085
Latvia,2021,387725.0645
Lithuania,2021,99790.31034
Luxembourg,2021,307157.6375
Mexico,2021,7740916.964
Netherlands,2021,6562470.58
New Zealand,2021,1491145.508
Norway,2021,1252494.376
Poland,2021,2034342.209
Portugal,2021,2696174.024
Slovak Republic,2021,23194.4153
Slovenia,2021,35400.32927
Spain,2021,6867216.449
Sweden,2021,987536.7733
Switzerland,2021,2956587.798
Türkiye,2021,14521397.89
United Kingdom,2021,11539715.07
Australia,2023,13467715.35
Austria,2023,4018089.296
Belgium,2023,2195309.072
Canada,2023,19297419.43
Chile,2023,2881183.138
Colombia,2023,4578249.549
Costa Rica,2023,316586.63
Czechia,2023,729947.8565
Denmark,2023,1617743.605
Estonia,2023,252302.8646
Finland,2023,2727185.689
France,2023,16912915.32
Germany,2023,20003827.49
Greece,2023,1741590.227
Hungary,2023,3764965.479
Iceland,2023,1760186.5
Ireland,2023,15808183.33
Israel,2023,2008004.836
Italy,2023,3322863.741
Japan,2023,20364970.7
Korea,2023,16670846.89
Latvia,2023,1190776.75
