Year,Attribute,Value
1991,Total Arrivals,73520
1991,Total Departures,73360
1992,Total Arrivals,73650
1992,Total Departures,73930
1993,Total Arrivals,71700
1993,Total Departures,75570
1994,Total Arrivals,73640
1994,Total Departures,75050
1995,Total Arrivals,84550
1995,Total Departures,84650
1996,Total Arrivals,88220
1996,Total Departures,94010
1997,Total Arrivals,89960
1997,Total Departures,97180
1998,Total Arrivals,90360
1998,Total Departures,98260
1999,Total Arrivals,101760
1999,Total Departures,102270
2000,Total Arrivals,113730
2000,Total Departures,112870
2001,Total Arrivals,115560
2001,Total Departures,112250
2002,Total Arrivals,119080
2002,Total Departures,120450
2003,Total Arrivals,118730
2003,Total Departures,122440
2004,Total Arrivals,139370
2004,Total Departures,138740
2005,Total Arrivals,143380
2005,Total Departures,147750
2006,Total Arrivals,154550
2006,Total Departures,152430
2007,Total Arrivals,166520
2007,Total Departures,164170
2008,Total Arrivals,180410
2008,Total Departures,175530
2009,Total Arrivals,188340
2009,Total Departures,190860
2010,Total Arrivals,206340
2010,Total Departures,226550
2011,Total Arrivals,207680
2011,Total Departures,218950
2012,Total Arrivals,240710
2012,Total Departures,232930
2013,Total Arrivals,236920
2013,Total Departures,244900
2014,Total Arrivals,243100
2014,Total Departures,246410
2015,Total Arrivals,254140
2015,Total Departures,257480
2016,Total Arrivals,265590
2016,Total Departures,276490
2017,Total Arrivals,300660
2017,Total Departures,307560
2018,Total Arrivals,340900
2018,Total Departures,335280
2019,Total Arrivals,341340
2019,Total Departures,335220
2020,Total Arrivals,82040
2020,Total Departures,67090
2021,Total Arrivals,14540
2021,Total Departures,19240
2022,Total Arrivals,178300
2022,Total Departures,171730
2023,Total Arrivals,309530
2023,Total Departures,298230
2024,Total Arrivals,341130
2024,Total Departures,334850
2025,Total Arrivals,211630
2025,Total Departures,190410
