Year,State,Total Arrivals
1991,NSW,1927020
1991,VIC,894300
1991,QLD,922190
1991,SA,173940
1991,WA,451030
1991,TAS,35080
1991,NT,41930
1991,ACT,73520
1992,NSW,2108220
1992,VIC,929760
1992,QLD,1041740
1992,SA,179230
1992,WA,485500
1992,TAS,43280
1992,NT,43710
1992,ACT,73650
1993,NSW,2325890
1993,VIC,950670
1993,QLD,1199890
1993,SA,188750
1993,WA,546870
1993,TAS,45930
1993,NT,47110
1993,ACT,71700
1994,NSW,2523680
1994,VIC,1018140
1994,QLD,1326540
1994,SA,190530
1994,WA,641410
1994,TAS,44380
1994,NT,67870
1994,ACT,73640
1995,NSW,2736800
1995,VIC,1109830
1995,QLD,1509080
1995,SA,206420
1995,WA,668560
1995,TAS,51230
1995,NT,74060
1995,ACT,84550
1996,NSW,2993990
1996,VIC,1228620
1996,QLD,1727520
1996,SA,217790
1996,WA,735190
1996,TAS,47450
1996,NT,76320
1996,ACT,88220
1997,NSW,3048050
1997,VIC,1351870
1997,QLD,1806440
1997,SA,239730
1997,WA,793120
1997,TAS,57030
1997,NT,82400
1997,ACT,89960
1998,NSW,3093530
1998,VIC,1437190
1998,QLD,1735770
1998,SA,241020
1998,WA,829640
1998,TAS,53910
1998,NT,81970
1998,ACT,90360
1999,NSW,3236290
1999,VIC,1490600
1999,QLD,1846550
1999,SA,276670
1999,WA,858190
1999,TAS,54800
1999,NT,96000
1999,ACT,101760
2000,NSW,3666580
2000,VIC,1642070
2000,QLD,1891480
2000,SA,294350
2000,WA,893530
2000,TAS,63570
2000,NT,100520
2000,ACT,113730
2001,NSW,3528620
2001,VIC,1711110
2001,QLD,1943240
2001,SA,289310
2001,WA,898000
2001,TAS,64310
2001,NT,102300
2001,ACT,115560
2002,NSW,3451670
2002,VIC,1747280
2002,QLD,1944870
2002,SA,278190
2002,WA,900730
2002,TAS,63530
2002,NT,91430
2002,ACT,119080
2003,NSW,3383440
2003,VIC,1711730
2003,QLD,1946950
2003,SA,269590
2003,WA,889560
2003,TAS,67050
2003,NT,76790
2003,ACT,118730
2004,NSW,3871670
2004,VIC,2047970
2004,QLD,2326820
2004,SA,335530
2004,WA,1016820
2004,TAS,81090
2004,NT,87180
2004,ACT,139370
2005,NSW,4166910
2005,VIC,2221670
2005,QLD,2468340
2005,SA,370720
2005,WA,1119350
2005,TAS,83870
2005,NT,91600
2005,ACT,143380
2006,NSW,4207150
2006,VIC,2305680
2006,QLD,2515520
2006,SA,396540
2006,WA,1143100
2006,TAS,88880
2006,NT,98960
2006,ACT,154550
2007,NSW,4415700
2007,VIC,2467060
2007,QLD,2615990
2007,SA,427370
2007,WA,1314340
2007,TAS,91300
