Year,State,Attribute,Value
1991,ACT,Total Arrivals,73520
1991,ACT,Total Departures,73360
1991,NSW,Total Arrivals,1927020
1991,NSW,Total Departures,2007020
1991,NT,Total Arrivals,41930
1991,NT,Total Departures,41620
1991,QLD,Total Arrivals,922190
1991,QLD,Total Departures,908690
1991,SA,Total Arrivals,173940
1991,SA,Total Departures,182680
1991,TAS,Total Arrivals,35080
1991,TAS,Total Departures,40440
1991,VIC,Total Arrivals,894300
1991,VIC,Total Departures,858840
1991,WA,Total Arrivals,451030
1991,WA,Total Departures,457280
1992,ACT,Total Arrivals,73650
1992,ACT,Total Departures,73930
1992,NSW,Total Arrivals,2108220
1992,NSW,Total Departures,2168030
1992,NT,Total Arrivals,43710
1992,NT,Total Departures,44990
1992,QLD,Total Arrivals,1041740
1992,QLD,Total Departures,1020590
1992,SA,Total Arrivals,179230
1992,SA,Total Departures,187160
1992,TAS,Total Arrivals,43280
1992,TAS,Total Departures,45900
1992,VIC,Total Arrivals,929760
1992,VIC,Total Departures,893560
1992,WA,Total Arrivals,485500
1992,WA,Total Departures,495050
1993,ACT,Total Arrivals,71700
1993,ACT,Total Departures,75570
1993,NSW,Total Arrivals,2325890
1993,NSW,Total Departures,2329260
1993,NT,Total Arrivals,47110
1993,NT,Total Departures,47690
1993,QLD,Total Arrivals,1199890
1993,QLD,Total Departures,1186070
1993,SA,Total Arrivals,188750
1993,SA,Total Departures,185660
1993,TAS,Total Arrivals,45930
1993,TAS,Total Departures,47390
1993,VIC,Total Arrivals,950670
1993,VIC,Total Departures,922300
1993,WA,Total Arrivals,546870
1993,WA,Total Departures,534920
1994,ACT,Total Arrivals,73640
1994,ACT,Total Departures,75050
1994,NSW,Total Arrivals,2523680
1994,NSW,Total Departures,2544650
1994,NT,Total Arrivals,67870
1994,NT,Total Departures,61810
1994,QLD,Total Arrivals,1326540
1994,QLD,Total Departures,1287140
1994,SA,Total Arrivals,190530
1994,SA,Total Departures,197990
1994,TAS,Total Arrivals,44380
1994,TAS,Total Departures,45480
1994,VIC,Total Arrivals,1018140
1994,VIC,Total Departures,966770
1994,WA,Total Arrivals,641410
1994,WA,Total Departures,631330
1995,ACT,Total Arrivals,84550
1995,ACT,Total Departures,84650
1995,NSW,Total Arrivals,2736800
1995,NSW,Total Departures,2740070
1995,NT,Total Arrivals,74060
1995,NT,Total Departures,69050
1995,QLD,Total Arrivals,1509080
1995,QLD,Total Departures,1441780
1995,SA,Total Arrivals,206420
1995,SA,Total Departures,207700
1995,TAS,Total Arrivals,51230
1995,TAS,Total Departures,49770
1995,VIC,Total Arrivals,1109830
1995,VIC,Total Departures,1077390
1995,WA,Total Arrivals,668560
1995,WA,Total Departures,659090
1996,ACT,Total Arrivals,88220
1996,ACT,Total Departures,94010
1996,NSW,Total Arrivals,2993990
1996,NSW,Total Departures,2987040
1996,NT,Total Arrivals,76320
1996,NT,Total Departures,68690
1996,QLD,Total Arrivals,1727520
1996,QLD,Total Departures,1633130
1996,SA,Total Arrivals,217790
1996,SA,Total Departures,222860
1996,TAS,Total Arrivals,47450
1996,TAS,Total Departures,55380
1996,VIC,Total Arrivals,1228620
1996,VIC,Total Departures,1198180
1996,WA,Total Arrivals,735190
1996,WA,Total Departures,723320
1997,ACT,Total Arrivals,89960
1997,ACT,Total Departures,97180
1997,NSW,Total Arrivals,3048050
1997,NSW,Total Departures,3089080
1997,NT,Total Arrivals,82400
1997,NT,Total Departures,73340
1997,QLD,Total Arrivals,1806440
1997,QLD,Total Departures,1711920
1997,SA,Total Arrivals,239730
1997,SA,Total Departures,239100
1997,TAS,Total Arrivals,57030
1997,TAS,Total Departures,58360
1997,VIC,Total Arrivals,1351870
1997,VIC,Total Departures,1323860
1997,WA,Total Arrivals,793120
1997,WA,Total Departures,783110
1998,ACT,Total Arrivals,90360
1998,ACT,Total Departures,98260
1998,NSW,Total Arrivals,3093530
1998,NSW,Total Departures,3076980
1998,NT,Total Arrivals,81970
1998,NT,Total Departures,92130
1998,QLD,Total Arrivals,1735770
1998,QLD,Total Departures,1688810
1998,SA,Total Arrivals,241020
1998,SA,Total Departures,252370
1998,TAS,Total Arrivals,53910
1998,TAS,Total Departures,56080
1998,VIC,Total Arrivals,1437190
1998,VIC,Total Departures,1386150
1998,WA,Total Arrivals,829640
1998,WA,Total Departures,822370
1999,ACT,Total Arrivals,101760
1999,ACT,Total Departures,102270
1999,NSW,Total Arrivals,3236290
1999,NSW,Total Departures,3206870
1999,NT,Total Arrivals,96000
1999,NT,Total Departures,83160
1999,QLD,Total Arrivals,1846550
1999,QLD,Total Departures,1801550
1999,SA,Total Arrivals,276670
1999,SA,Total Departures,268780
1999,TAS,Total Arrivals,54800
1999,TAS,Total Departures,63330
1999,VIC,Total Arrivals,1490600
1999,VIC,Total Departures,1460380
1999,WA,Total Arrivals,858190
1999,WA,Total Departures,843780
2000,ACT,Total Arrivals,113730
2000,ACT,Total Departures,112870
2000,NSW,Total Arrivals,3666580
2000,NSW,Total Departures,3724280
2000,NT,Total Arrivals,100520
2000,NT,Total Departures,98800
2000,QLD,Total Arrivals,1891480
2000,QLD,Total Departures,1842780
2000,SA,Total Arrivals,294350
2000,SA,Total Departures,277770
2000,TAS,Total Arrivals,63570
2000,TAS,Total Departures,64160
2000,VIC,Total Arrivals,1642070
2000,VIC,Total Departures,1580110
2000,WA,Total Arrivals,893530
2000,WA,Total Departures,906850
2001,ACT,Total Arrivals,115560
2001,ACT,Total Departures,112250
2001,NSW,Total Arrivals,3528620
2001,NSW,Total Departures,3573350
2001,NT,Total Arrivals,102300
2001,NT,Total Departures,108730
2001,QLD,Total Arrivals,1943240
2001,QLD,Total Departures,1885280
2001,SA,Total Arrivals,289310
2001,SA,Total Departures,289220
2001,TAS,Total Arrivals,64310
2001,TAS,Total Departures,71140
2001,VIC,Total Arrivals,1711110
2001,VIC,Total Departures,1646650
2001,WA,Total Arrivals,898000
2001,WA,Total Departures,878810
2002,ACT,Total Arrivals,119080
2002,ACT,Total Departures,120450
2002,NSW,Total Arrivals,3451670
2002,NSW,Total Departures,3528050
2002,NT,Total Arrivals,91430
2002,NT,Total Departures,102040
2002,QLD,Total Arrivals,1944870
2002,QLD,Total Departures,1903740
2002,SA,Total Arrivals,278190
2002,SA,Total Departures,286620
2002,TAS,Total Arrivals,63530
2002,TAS,Total Departures,83510
2002,VIC,Total Arrivals,1747280
2002,VIC,Total Departures,1671250
2002,WA,Total Arrivals,900730
2002,WA,Total Departures,881740
2003,ACT,Total Arrivals,118730
2003,ACT,Total Departures,122440
2003,NSW,Total Arrivals,3383440
2003,NSW,Total Departures,3401250
2003,NT,Total Arrivals,76790
2003,NT,Total Departures,84240
2003,QLD,Total Arrivals,1946950
2003,QLD,Total Departures,1927210
2003,SA,Total Arrivals,269590
2003,SA,Total Departures,270020
2003,TAS,Total Arrivals,67050
2003,TAS,Total Departures,73950
2003,VIC,Total Arrivals,1711730
2003,VIC,Total Departures,1675590
2003,WA,Total Arrivals,889560
2003,WA,Total Departures,846660
2004,ACT,Total Arrivals,139370
2004,ACT,Total Departures,138740
2004,NSW,Total Arrivals,3871670
2004,NSW,Total Departures,3857050
2004,NT,Total Arrivals,87180
2004,NT,Total Departures,93890
2004,QLD,Total Arrivals,2326820
2004,QLD,Total Departures,2285230
2004,SA,Total Arrivals,335530
2004,SA,Total Departures,351520
2004,TAS,Total Arrivals,81090
2004,TAS,Total Departures,88680
2004,VIC,Total Arrivals,2047970
2004,VIC,Total Departures,2060640
2004,WA,Total Arrivals,1016820
2004,WA,Total Departures,994690
2005,ACT,Total Arrivals,143380
2005,ACT,Total Departures,147750
2005,NSW,Total Arrivals,4166910
2005,NSW,Total Departures,4110870
2005,NT,Total Arrivals,91600
2005,NT,Total Departures,99990
2005,QLD,Total Arrivals,2468340
2005,QLD,Total Departures,2470370
2005,SA,Total Arrivals,370720
2005,SA,Total Departures,379760
2005,TAS,Total Arrivals,83870
2005,TAS,Total Departures,95880
2005,VIC,Total Arrivals,2221670
2005,VIC,Total Departures,2139970
2005,WA,Total Arrivals,1119350
2005,WA,Total Departures,1095120
2006,ACT,Total Arrivals,154550
2006,ACT,Total Departures,152430
2006,NSW,Total Arrivals,4207150
2006,NSW,Total Departures,4136100
2006,NT,Total Arrivals,98960
2006,NT,Total Departures,117280
2006,QLD,Total Arrivals,2515520
2006,QLD,Total Departures,2530790
2006,SA,Total Arrivals,396540
2006,SA,Total Departures,395070
2006,TAS,Total Arrivals,88880
2006,TAS,Total Departures,101070
2006,VIC,Total Arrivals,2305680
2006,VIC,Total Departures,2193870
2006,WA,Total Arrivals,1143100
2006,WA,Total Departures,1117380
2007,ACT,Total Arrivals,166520
2007,ACT,Total Departures,164170
2007,NSW,Total Arrivals,4415700
2007,NSW,Total Departures,4353300
2007,NT,Total Arrivals,115320
2007,NT,Total Departures,128860
2007,QLD,Total Arrivals,2615990
2007,QLD,Total Departures,2630950
2007,SA,Total Arrivals,427370
2007,SA,Total Departures,430550
2007,TAS,Total Arrivals,91300
2007,TAS,Total Departures,106540
2007,VIC,Total Arrivals,2467060
2007,VIC,Total Departures,2383270
2007,WA,Total Arrivals,1314340
2007,WA,Total Departures,1277400
2008,ACT,Total Arrivals,180410
2008,ACT,Total Departures,175530
2008,NSW,Total Arrivals,4547440
2008,NSW,Total Departures,4444900
2008,NT,Total Arrivals,134790
2008,NT,Total Departures,114840
2008,QLD,Total Arrivals,2679920
2008,QLD,Total Departures,2638490
2008,SA,Total Arrivals,449130
2008,SA,Total Departures,448780
2008,TAS,Total Arrivals,104190
2008,TAS,Total Departures,110910
2008,VIC,Total Arrivals,2607850
2008,VIC,Total Departures,2499750
2008,WA,Total Arrivals,1410620
2008,WA,Total Departures,1371390
2009,ACT,Total Arrivals,188340
2009,ACT,Total Departures,190860
2009,NSW,Total Arrivals,4594710
2009,NSW,Total Departures,4526530
2009,NT,Total Arrivals,140620
2009,NT,Total Departures,130010
2009,QLD,Total Arrivals,2682410
2009,QLD,Total Departures,2672180
2009,SA,Total Arrivals,470990
2009,SA,Total Departures,467980
2009,TAS,Total Arrivals,111900
2009,TAS,Total Departures,118610
2009,VIC,Total Arrivals,2763110
2009,VIC,Total Departures,2668470
2009,WA,Total Arrivals,1542430
2009,WA,Total Departures,1514730
2010,ACT,Total Arrivals,206340
2010,ACT,Total Departures,226550
