Row Labels,Attribute,Total Departures
1991,NSW,2007020
1991,VIC,858840
1991,QLD,908690
1991,SA,182680
1991,WA,457280
1991,NT,41620
1991,TAS,40440
1991,ACT,73360
1992,NSW,2168030
1992,VIC,893560
1992,QLD,1020590
1992,SA,187160
1992,WA,495050
1992,NT,44990
1992,TAS,45900
1992,ACT,73930
1993,NSW,2329260
1993,VIC,922300
1993,QLD,1186070
1993,SA,185660
1993,WA,534920
1993,NT,47690
1993,TAS,47390
1993,ACT,75570
1994,NSW,2544650
1994,VIC,966770
1994,QLD,1287140
1994,SA,197990
1994,WA,631330
1994,NT,61810
1994,TAS,45480
1994,ACT,75050
1995,NSW,2740070
1995,VIC,1077390
1995,QLD,1441780
1995,SA,207700
1995,WA,659090
1995,NT,69050
1995,TAS,49770
1995,ACT,84650
1996,NSW,2987040
1996,VIC,1198180
1996,QLD,1633130
1996,SA,222860
1996,WA,723320
1996,NT,68690
1996,TAS,55380
1996,ACT,94010
1997,NSW,3089080
1997,VIC,1323860
1997,QLD,1711920
1997,SA,239100
1997,WA,783110
1997,NT,73340
1997,TAS,58360
1997,ACT,97180
1998,NSW,3076980
1998,VIC,1386150
1998,QLD,1688810
1998,SA,252370
1998,WA,822370
1998,NT,92130
1998,TAS,56080
1998,ACT,98260
1999,NSW,3206870
1999,VIC,1460380
1999,QLD,1801550
1999,SA,268780
1999,WA,843780
1999,NT,83160
1999,TAS,63330
1999,ACT,102270
2000,NSW,3724280
2000,VIC,1580110
2000,QLD,1842780
2000,SA,277770
2000,WA,906850
2000,NT,98800
2000,TAS,64160
2000,ACT,112870
2001,NSW,3573350
2001,VIC,1646650
2001,QLD,1885280
2001,SA,289220
2001,WA,878810
2001,NT,108730
2001,TAS,71140
2001,ACT,112250
2002,NSW,3528050
2002,VIC,1671250
2002,QLD,1903740
2002,SA,286620
2002,WA,881740
2002,NT,102040
2002,TAS,83510
2002,ACT,120450
2003,NSW,3401250
2003,VIC,1675590
2003,QLD,1927210
2003,SA,270020
2003,WA,846660
2003,NT,84240
2003,TAS,73950
2003,ACT,122440
2004,NSW,3857050
2004,VIC,2060640
2004,QLD,2285230
2004,SA,351520
2004,WA,994690
2004,NT,93890
2004,TAS,88680
2004,ACT,138740
2005,NSW,4110870
2005,VIC,2139970
2005,QLD,2470370
2005,SA,379760
2005,WA,1095120
2005,NT,99990
2005,TAS,95880
2005,ACT,147750
2006,NSW,4136100
2006,VIC,2193870
2006,QLD,2530790
2006,SA,395070
2006,WA,1117380
2006,NT,117280
2006,TAS,101070
2006,ACT,152430
2007,NSW,4353300
2007,VIC,2383270
2007,QLD,2630950
2007,SA,430550
2007,WA,1277400
2007,NT,128860
2007,TAS,106540
2007,ACT,164170
2008,NSW,4444900
2008,VIC,2499750
2008,QLD,2638490
2008,SA,448780
2008,WA,1371390
2008,NT,114840
2008,TAS,110910
2008,ACT,175530
2009,NSW,4526530
2009,VIC,2668470
2009,QLD,2672180
2009,SA,467980
2009,WA,1514730
2009,NT,130010
2009,TAS,118610
2009,ACT,190860
2010,NSW,4891060
2010,VIC,3002840
2010,QLD,2841380
2010,SA,527510
2010,WA,1702640
2010,NT,141900
2010,TAS,136360
2010,ACT,226550
2011,NSW,5107900
2011,VIC,3267170
2011,QLD,2886530
2011,SA,549300
2011,WA,1835070
2011,NT,151050
2011,TAS,137720
2011,ACT,218950
2012,NSW,5315800
2012,VIC,3444580
2012,QLD,3018060
2012,SA,577190
2012,WA,1960530
2012,NT,157400
2012,TAS,143060
2012,ACT,232930
2013,NSW,5616080
2013,VIC,3673560
2013,QLD,3142550
2013,SA,617390
2013,WA,2115470
2013,NT,173460
2013,TAS,153190
2013,ACT,244900
2014,NSW,5881890
2014,VIC,3941880
2014,QLD,3260580
2014,SA,685520
2014,WA,2237410
2014,NT,184110
2014,TAS,161530
2014,ACT,246410
2015,NSW,6204350
2015,VIC,4242220
2015,QLD,3460240
2015,SA,686570
2015,WA,2208680
2015,NT,172560
2015,TAS,170660
2015,ACT,257480
2016,NSW,6772270
2016,VIC,4640920
2016,QLD,3664560
2016,SA,731250
2016,WA,2315760
2016,NT,178900
2016,TAS,186730
2016,ACT,276490
2017,NSW,7323060
2017,VIC,5058610
2017,QLD,3772930
2017,SA,764120
2017,WA,2320670
2017,NT,180480
2017,TAS,192470
2017,ACT,307560
2018,NSW,7662870
2018,VIC,5524840
2018,QLD,3901580
2018,SA,786200
2018,WA,2325820
2018,NT,173640
2018,TAS,197970
2018,ACT,335280
2019,NSW,7772330
2019,VIC,5721710
2019,QLD,3975420
2019,SA,825540
2019,WA,2377340
2019,NT,178130
2019,TAS,211430
2019,ACT,335220
2020,NSW,1658000
2020,VIC,1222520
2020,QLD,820080
2020,SA,172110
2020,WA,522160
2020,NT,31710
2020,TAS,49130
2020,ACT,67090
2021,NSW,398730
2021,VIC,230960
2021,QLD,139620
2021,SA,25290
2021,WA,55530
2021,NT,7530
2021,TAS,7430
2021,ACT,19240
2022,NSW,3513770
2022,VIC,2625670
2022,QLD,1663900
2022,SA,357900
2022,WA,1006560
2022,NT,77030
2022,TAS,88350
2022,ACT,171730
2023,NSW,6482590
2023,VIC,4768880
2023,QLD,3208750
2023,SA,711080
2023,WA,2045150
2023,NT,116930
2023,TAS,176410
2023,ACT,298230
2024,NSW,7446780
2024,VIC,5498050
2024,QLD,3858830
2024,SA,798510
2024,WA,2490060
2024,NT,135360
2024,TAS,192990
2024,ACT,334850
2025,NSW,4443700
2025,VIC,3310270
2025,QLD,2254550
2025,SA,489010
2025,WA,1554270
2025,NT,85540
2025,TAS,128120
2025,ACT,190410
