Year,Attribute,Value
1991,Total Arrivals,1927020
1991,Total Departures,2007020
1992,Total Arrivals,2108220
1992,Total Departures,2168030
1993,Total Arrivals,2325890
1993,Total Departures,2329260
1994,Total Arrivals,2523680
1994,Total Departures,2544650
1995,Total Arrivals,2736800
1995,Total Departures,2740070
1996,Total Arrivals,2993990
1996,Total Departures,2987040
1997,Total Arrivals,3048050
1997,Total Departures,3089080
1998,Total Arrivals,3093530
1998,Total Departures,3076980
1999,Total Arrivals,3236290
1999,Total Departures,3206870
2000,Total Arrivals,3666580
2000,Total Departures,3724280
2001,Total Arrivals,3528620
2001,Total Departures,3573350
2002,Total Arrivals,3451670
2002,Total Departures,3528050
2003,Total Arrivals,3383440
2003,Total Departures,3401250
2004,Total Arrivals,3871670
2004,Total Departures,3857050
2005,Total Arrivals,4166910
2005,Total Departures,4110870
2006,Total Arrivals,4207150
2006,Total Departures,4136100
2007,Total Arrivals,4415700
2007,Total Departures,4353300
2008,Total Arrivals,4547440
2008,Total Departures,4444900
2009,Total Arrivals,4594710
2009,Total Departures,4526530
2010,Total Arrivals,4957010
2010,Total Departures,4891060
2011,Total Arrivals,5187790
2011,Total Departures,5107900
2012,Total Arrivals,5338740
2012,Total Departures,5315800
2013,Total Arrivals,5664710
2013,Total Departures,5616080
2014,Total Arrivals,5955910
2014,Total Departures,5881890
2015,Total Arrivals,6277280
2015,Total Departures,6204350
2016,Total Arrivals,6836150
2016,Total Departures,6772270
2017,Total Arrivals,7338750
2017,Total Departures,7323060
2018,Total Arrivals,7573530
2018,Total Departures,7662870
2019,Total Arrivals,7605660
2019,Total Departures,7772330
2020,Total Arrivals,1752140
2020,Total Departures,1658000
2021,Total Arrivals,360440
2021,Total Departures,398730
2022,Total Arrivals,3501010
2022,Total Departures,3513770
2023,Total Arrivals,6478160
2023,Total Departures,6482590
2024,Total Arrivals,7307410
2024,Total Departures,7446780
2025,Total Arrivals,4451450
2025,Total Departures,4443700
