Year,Attribute,Value
1991,Total Arrivals,41930
1991,Total Departures,41620
1992,Total Arrivals,43710
1992,Total Departures,44990
1993,Total Arrivals,47110
1993,Total Departures,47690
1994,Total Arrivals,67870
1994,Total Departures,61810
1995,Total Arrivals,74060
1995,Total Departures,69050
1996,Total Arrivals,76320
1996,Total Departures,68690
1997,Total Arrivals,82400
1997,Total Departures,73340
1998,Total Arrivals,81970
1998,Total Departures,92130
1999,Total Arrivals,96000
1999,Total Departures,83160
2000,Total Arrivals,100520
2000,Total Departures,98800
2001,Total Arrivals,102300
2001,Total Departures,108730
2002,Total Arrivals,91430
2002,Total Departures,102040
2003,Total Arrivals,76790
2003,Total Departures,84240
2004,Total Arrivals,87180
2004,Total Departures,93890
2005,Total Arrivals,91600
2005,Total Departures,99990
2006,Total Arrivals,98960
2006,Total Departures,117280
2007,Total Arrivals,115320
2007,Total Departures,128860
2008,Total Arrivals,134790
2008,Total Departures,114840
2009,Total Arrivals,140620
2009,Total Departures,130010
2010,Total Arrivals,138240
2010,Total Departures,141900
2011,Total Arrivals,159240
2011,Total Departures,151050
2012,Total Arrivals,180390
2012,Total Departures,157400
2013,Total Arrivals,190180
2013,Total Departures,173460
2014,Total Arrivals,210580
2014,Total Departures,184110
2015,Total Arrivals,195050
2015,Total Departures,172560
2016,Total Arrivals,194940
2016,Total Departures,178900
2017,Total Arrivals,225500
2017,Total Departures,180480
2018,Total Arrivals,174870
2018,Total Departures,173640
2019,Total Arrivals,180610
2019,Total Departures,178130
2020,Total Arrivals,38580
2020,Total Departures,31710
2021,Total Arrivals,7600
2021,Total Departures,7530
2022,Total Arrivals,69450
2022,Total Departures,77030
2023,Total Arrivals,120420
2023,Total Departures,116930
2024,Total Arrivals,137640
2024,Total Departures,135360
2025,Total Arrivals,94680
2025,Total Departures,85540
