Year,Attribute,Value
1991,Total Arrivals,922190
1991,Total Departures,908690
1992,Total Arrivals,1041740
1992,Total Departures,1020590
1993,Total Arrivals,1199890
1993,Total Departures,1186070
1994,Total Arrivals,1326540
1994,Total Departures,1287140
1995,Total Arrivals,1509080
1995,Total Departures,1441780
1996,Total Arrivals,1727520
1996,Total Departures,1633130
1997,Total Arrivals,1806440
1997,Total Departures,1711920
1998,Total Arrivals,1735770
1998,Total Departures,1688810
1999,Total Arrivals,1846550
1999,Total Departures,1801550
2000,Total Arrivals,1891480
2000,Total Departures,1842780
2001,Total Arrivals,1943240
2001,Total Departures,1885280
2002,Total Arrivals,1944870
2002,Total Departures,1903740
2003,Total Arrivals,1946950
2003,Total Departures,1927210
2004,Total Arrivals,2326820
2004,Total Departures,2285230
2005,Total Arrivals,2468340
2005,Total Departures,2470370
2006,Total Arrivals,2515520
2006,Total Departures,2530790
2007,Total Arrivals,2615990
2007,Total Departures,2630950
2008,Total Arrivals,2679920
2008,Total Departures,2638490
2009,Total Arrivals,2682410
2009,Total Departures,2672180
2010,Total Arrivals,2828450
2010,Total Departures,2841380
2011,Total Arrivals,2876470
2011,Total Departures,2886530
2012,Total Arrivals,3053970
2012,Total Departures,3018060
2013,Total Arrivals,3163390
2013,Total Departures,3142550
2014,Total Arrivals,3226300
2014,Total Departures,3260580
2015,Total Arrivals,3390310
2015,Total Departures,3460240
2016,Total Arrivals,3648510
2016,Total Departures,3664560
2017,Total Arrivals,3836060
2017,Total Departures,3772930
2018,Total Arrivals,4113360
2018,Total Departures,3901580
2019,Total Arrivals,4199590
2019,Total Departures,3975420
2020,Total Arrivals,936220
2020,Total Departures,820080
2021,Total Arrivals,123260
2021,Total Departures,139620
2022,Total Arrivals,1763220
2022,Total Departures,1663900
2023,Total Arrivals,3414620
2023,Total Departures,3208750
2024,Total Arrivals,4065520
2024,Total Departures,3858830
2025,Total Arrivals,2521730
2025,Total Departures,2254550
