Year,Attribute,Value
1991,Total Arrivals,173940
1991,Total Departures,182680
1992,Total Arrivals,179230
1992,Total Departures,187160
1993,Total Arrivals,188750
1993,Total Departures,185660
1994,Total Arrivals,190530
1994,Total Departures,197990
1995,Total Arrivals,206420
1995,Total Departures,207700
1996,Total Arrivals,217790
1996,Total Departures,222860
1997,Total Arrivals,239730
1997,Total Departures,239100
1998,Total Arrivals,241020
1998,Total Departures,252370
1999,Total Arrivals,276670
1999,Total Departures,268780
2000,Total Arrivals,294350
2000,Total Departures,277770
2001,Total Arrivals,289310
2001,Total Departures,289220
2002,Total Arrivals,278190
2002,Total Departures,286620
2003,Total Arrivals,269590
2003,Total Departures,270020
2004,Total Arrivals,335530
2004,Total Departures,351520
2005,Total Arrivals,370720
2005,Total Departures,379760
2006,Total Arrivals,396540
2006,Total Departures,395070
2007,Total Arrivals,427370
2007,Total Departures,430550
2008,Total Arrivals,449130
2008,Total Departures,448780
2009,Total Arrivals,470990
2009,Total Departures,467980
2010,Total Arrivals,506000
2010,Total Departures,527510
2011,Total Arrivals,531190
2011,Total Departures,549300
2012,Total Arrivals,576330
2012,Total Departures,577190
2013,Total Arrivals,623060
2013,Total Departures,617390
2014,Total Arrivals,682640
2014,Total Departures,685520
2015,Total Arrivals,672300
2015,Total Departures,686570
2016,Total Arrivals,708780
2016,Total Departures,731250
2017,Total Arrivals,750760
2017,Total Departures,764120
2018,Total Arrivals,793490
2018,Total Departures,786200
2019,Total Arrivals,832940
2019,Total Departures,825540
2020,Total Arrivals,188100
2020,Total Departures,172110
2021,Total Arrivals,21670
2021,Total Departures,25290
2022,Total Arrivals,367390
2022,Total Departures,357900
2023,Total Arrivals,723970
2023,Total Departures,711080
2024,Total Arrivals,805760
2024,Total Departures,798510
2025,Total Arrivals,506080
2025,Total Departures,489010
