Year,Attribute,Value
1991,Total Arrivals,35080
1991,Total Departures,40440
1992,Total Arrivals,43280
1992,Total Departures,45900
1993,Total Arrivals,45930
1993,Total Departures,47390
1994,Total Arrivals,44380
1994,Total Departures,45480
1995,Total Arrivals,51230
1995,Total Departures,49770
1996,Total Arrivals,47450
1996,Total Departures,55380
1997,Total Arrivals,57030
1997,Total Departures,58360
1998,Total Arrivals,53910
1998,Total Departures,56080
1999,Total Arrivals,54800
1999,Total Departures,63330
2000,Total Arrivals,63570
2000,Total Departures,64160
2001,Total Arrivals,64310
2001,Total Departures,71140
2002,Total Arrivals,63530
2002,Total Departures,83510
2003,Total Arrivals,67050
2003,Total Departures,73950
2004,Total Arrivals,81090
2004,Total Departures,88680
2005,Total Arrivals,83870
2005,Total Departures,95880
2006,Total Arrivals,88880
2006,Total Departures,101070
2007,Total Arrivals,91300
2007,Total Departures,106540
2008,Total Arrivals,104190
2008,Total Departures,110910
2009,Total Arrivals,111900
2009,Total Departures,118610
2010,Total Arrivals,112050
2010,Total Departures,136360
2011,Total Arrivals,118100
2011,Total Departures,137720
2012,Total Arrivals,125600
2012,Total Departures,143060
2013,Total Arrivals,136010
2013,Total Departures,153190
2014,Total Arrivals,140310
2014,Total Departures,161530
2015,Total Arrivals,142590
2015,Total Departures,170660
2016,Total Arrivals,158970
2016,Total Departures,186730
2017,Total Arrivals,183110
2017,Total Departures,192470
2018,Total Arrivals,208380
2018,Total Departures,197970
2019,Total Arrivals,221830
2019,Total Departures,211430
2020,Total Arrivals,51040
2020,Total Departures,49130
2021,Total Arrivals,8510
2021,Total Departures,7430
2022,Total Arrivals,98220
2022,Total Departures,88350
2023,Total Arrivals,184260
2023,Total Departures,176410
2024,Total Arrivals,202500
2024,Total Departures,192990
2025,Total Arrivals,128630
2025,Total Departures,128120
