Year,Attribute,Value
1991,Total Arrivals,894300
1991,Total Departures,858840
1992,Total Arrivals,929760
1992,Total Departures,893560
1993,Total Arrivals,950670
1993,Total Departures,922300
1994,Total Arrivals,1018140
1994,Total Departures,966770
1995,Total Arrivals,1109830
1995,Total Departures,1077390
1996,Total Arrivals,1228620
1996,Total Departures,1198180
1997,Total Arrivals,1351870
1997,Total Departures,1323860
1998,Total Arrivals,1437190
1998,Total Departures,1386150
1999,Total Arrivals,1490600
1999,Total Departures,1460380
2000,Total Arrivals,1642070
2000,Total Departures,1580110
2001,Total Arrivals,1711110
2001,Total Departures,1646650
2002,Total Arrivals,1747280
2002,Total Departures,1671250
2003,Total Arrivals,1711730
2003,Total Departures,1675590
2004,Total Arrivals,2047970
2004,Total Departures,2060640
2005,Total Arrivals,2221670
2005,Total Departures,2139970
2006,Total Arrivals,2305680
2006,Total Departures,2193870
2007,Total Arrivals,2467060
2007,Total Departures,2383270
2008,Total Arrivals,2607850
2008,Total Departures,2499750
2009,Total Arrivals,2763110
2009,Total Departures,2668470
2010,Total Arrivals,3089630
2010,Total Departures,3002840
2011,Total Arrivals,3372710
2011,Total Departures,3267170
2012,Total Arrivals,3586270
2012,Total Departures,3444580
2013,Total Arrivals,3791750
2013,Total Departures,3673560
2014,Total Arrivals,4056220
2014,Total Departures,3941880
2015,Total Arrivals,4430370
2015,Total Departures,4242220
2016,Total Arrivals,4850900
2016,Total Departures,4640920
2017,Total Arrivals,5175590
2017,Total Departures,5058610
2018,Total Arrivals,5609080
2018,Total Departures,5524840
2019,Total Arrivals,5872270
2019,Total Departures,5721710
2020,Total Arrivals,1326320
2020,Total Departures,1222520
2021,Total Arrivals,180620
2021,Total Departures,230960
2022,Total Arrivals,2727900
2022,Total Departures,2625670
2023,Total Arrivals,4956700
2023,Total Departures,4768880
2024,Total Arrivals,5649950
2024,Total Departures,5498050
2025,Total Arrivals,3525010
2025,Total Departures,3310270
