Year,Attribute,Value
1991,Total Arrivals,451030
1991,Total Departures,457280
1992,Total Arrivals,485500
1992,Total Departures,495050
1993,Total Arrivals,546870
1993,Total Departures,534920
1994,Total Arrivals,641410
1994,Total Departures,631330
1995,Total Arrivals,668560
1995,Total Departures,659090
1996,Total Arrivals,735190
1996,Total Departures,723320
1997,Total Arrivals,793120
1997,Total Departures,783110
1998,Total Arrivals,829640
1998,Total Departures,822370
1999,Total Arrivals,858190
1999,Total Departures,843780
2000,Total Arrivals,893530
2000,Total Departures,906850
2001,Total Arrivals,898000
2001,Total Departures,878810
2002,Total Arrivals,900730
2002,Total Departures,881740
2003,Total Arrivals,889560
2003,Total Departures,846660
2004,Total Arrivals,1016820
2004,Total Departures,994690
2005,Total Arrivals,1119350
2005,Total Departures,1095120
2006,Total Arrivals,1143100
2006,Total Departures,1117380
2007,Total Arrivals,1314340
2007,Total Departures,1277400
2008,Total Arrivals,1410620
2008,Total Departures,1371390
2009,Total Arrivals,1542430
2009,Total Departures,1514730
2010,Total Arrivals,1734940
2010,Total Departures,1702640
2011,Total Arrivals,1871870
2011,Total Departures,1835070
2012,Total Arrivals,2018450
2012,Total Departures,1960530
2013,Total Arrivals,2140140
2013,Total Departures,2115470
2014,Total Arrivals,2257160
2014,Total Departures,2237410
2015,Total Arrivals,2217850
2015,Total Departures,2208680
2016,Total Arrivals,2325640
2016,Total Departures,2315760
2017,Total Arrivals,2316060
2017,Total Departures,2320670
2018,Total Arrivals,2323300
2018,Total Departures,2325820
2019,Total Arrivals,2362340
2019,Total Departures,2377340
2020,Total Arrivals,574130
2020,Total Departures,522160
2021,Total Arrivals,48280
2021,Total Departures,55530
2022,Total Arrivals,1003290
2022,Total Departures,1006560
2023,Total Arrivals,2064060
2023,Total Departures,2045150
2024,Total Arrivals,2462980
2024,Total Departures,2490060
2025,Total Arrivals,1611220
2025,Total Departures,1554270
